Gene,Description
A1bg,Alpha-1B-glycoprotein OS=Mus musculus OX=10090 GN=A1bg PE=1 SV=1
A2m,Alpha-2-macroglobulin-P OS=Mus musculus GN=A2m PE=2 SV=2
ARAP,"Activation-dependent, raft-recruited ADAP-like phosphoprotein OS=Mus musculus GN=ARAP PE=1 SV=1"
ATP5IF1,"ATPase inhibitor, mitochondrial OS=Mus musculus OX=10090 GN=ATP5IF1 PE=1 SV=2"
Aaas,Aladin OS=Mus musculus OX=10090 GN=Aaas PE=1 SV=1
Aacs,Acetoacetyl-CoA synthetase OS=Mus musculus GN=Aacs PE=1 SV=1
Aadat,"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial OS=Mus musculus GN=Aadat PE=1 SV=1"
Aagab,Alpha- and gamma-adaptin-binding protein p34 OS=Mus musculus OX=10090 GN=Aagab PE=1 SV=2
Aak1,AP2-associated protein kinase 1 OS=Mus musculus GN=Aak1 PE=1 SV=2
Aamdc,Mth938 domain-containing protein OS=Mus musculus OX=10090 GN=Aamdc PE=1 SV=1
Aar2,Protein AAR2 homolog OS=Mus musculus OX=10090 GN=Aar2 PE=1 SV=3
Aars,"Alanine--tRNA ligase, cytoplasmic OS=Mus musculus GN=Aars PE=1 SV=1"
Aars1,"Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars1 PE=1 SV=1"
Aars2,"Alanine--tRNA ligase, mitochondrial OS=Mus musculus OX=10090 GN=Aars2 PE=1 SV=1"
Aarsd1,Alanyl-tRNA editing protein Aarsd1 OS=Mus musculus GN=Aarsd1 PE=1 SV=2
Aasdhppt,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Mus musculus OX=10090 GN=Aasdhppt PE=1 SV=1
Aass,"Alpha-aminoadipic semialdehyde synthase, mitochondrial OS=Mus musculus OX=10090 GN=Aass PE=1 SV=1"
Aatf,Protein AATF OS=Mus musculus OX=10090 GN=Aatf PE=1 SV=1
Aatk,Serine/threonine-protein kinase LMTK1 OS=Mus musculus OX=10090 GN=Aatk PE=1 SV=1
Abat,"4-aminobutyrate aminotransferase, mitochondrial OS=Mus musculus GN=Abat PE=1 SV=1"
Abca1,ATP-binding cassette sub-family A member 1 OS=Mus musculus OX=10090 GN=Abca1 PE=1 SV=4
Abca13,ATP-binding cassette sub-family A member 13 OS=Mus musculus OX=10090 GN=Abca13 PE=2 SV=1
Abca2,ATP-binding cassette sub-family A member 2 OS=Mus musculus GN=Abca2 PE=1 SV=4
Abca3,ATP-binding cassette sub-family A member 3 OS=Mus musculus OX=10090 GN=Abca3 PE=1 SV=3
Abca4,Retinal-specific ATP-binding cassette transporter OS=Mus musculus GN=Abca4 PE=2 SV=1
Abca5,ATP-binding cassette sub-family A member 5 OS=Mus musculus OX=10090 GN=Abca5 PE=1 SV=2
Abca6,ATP-binding cassette sub-family A member 6 OS=Mus musculus OX=10090 GN=Abca6 PE=1 SV=2
Abca7,ATP-binding cassette sub-family A member 7 OS=Mus musculus OX=10090 GN=Abca7 PE=1 SV=1
Abca8b,ATP-binding cassette sub-family A member 8-B OS=Mus musculus OX=10090 GN=Abca8b PE=1 SV=2
Abca9,ATP-binding cassette sub-family A member 9 OS=Mus musculus OX=10090 GN=Abca9 PE=1 SV=2
Abcb10,"ATP-binding cassette sub-family B member 10, mitochondrial OS=Mus musculus GN=Abcb10 PE=1 SV=1"
Abcb1a,ATP-dependent translocase ABCB1 OS=Mus musculus OX=10090 GN=Abcb1a PE=1 SV=3
Abcb1b,ATP-dependent translocase ABCB1 OS=Mus musculus OX=10090 GN=Abcb1b PE=1 SV=1
Abcb4,Phosphatidylcholine translocator ABCB4 OS=Mus musculus OX=10090 GN=Abcb4 PE=1 SV=2
Abcb6,"ATP-binding cassette sub-family B member 6, mitochondrial OS=Mus musculus GN=Abcb6 PE=1 SV=1"
Abcb7,"ATP-binding cassette sub-family B member 7, mitochondrial OS=Mus musculus GN=Abcb7 PE=1 SV=3"
Abcb8,"ATP-binding cassette sub-family B member 8, mitochondrial OS=Mus musculus GN=Abcb8 PE=1 SV=1"
Abcb9,ATP-binding cassette sub-family B member 9 OS=Mus musculus GN=Abcb9 PE=2 SV=1
Abcc1,Multidrug resistance-associated protein 1 OS=Mus musculus OX=10090 GN=Abcc1 PE=1 SV=1
Abcc10,Multidrug resistance-associated protein 7 OS=Mus musculus OX=10090 GN=Abcc10 PE=1 SV=1
Abcc3,Canalicular multispecific organic anion transporter 2 OS=Mus musculus GN=Abcc3 PE=1 SV=1
Abcc5,Multidrug resistance-associated protein 5 OS=Mus musculus OX=10090 GN=Abcc5 PE=1 SV=2
Abcc9,ATP-binding cassette sub-family C member 9 OS=Mus musculus OX=10090 GN=Abcc9 PE=1 SV=2
Abcd1,ATP-binding cassette sub-family D member 1 OS=Mus musculus OX=10090 GN=Abcd1 PE=1 SV=1
Abcd2,ATP-binding cassette sub-family D member 2 OS=Mus musculus GN=Abcd2 PE=1 SV=1
Abcd3,ATP-binding cassette sub-family D member 3 OS=Mus musculus GN=Abcd3 PE=1 SV=1
Abcd4,ATP-binding cassette sub-family D member 4 OS=Mus musculus OX=10090 GN=Abcd4 PE=1 SV=2
Abce1,ATP-binding cassette sub-family E member 1 OS=Mus musculus GN=Abce1 PE=1 SV=1
Abcf1,ATP-binding cassette sub-family F member 1 OS=Mus musculus GN=Abcf1 PE=1 SV=1
Abcf2,ATP-binding cassette sub-family F member 2 OS=Mus musculus GN=Abcf2 PE=1 SV=1
Abcf3,ATP-binding cassette sub-family F member 3 OS=Mus musculus GN=Abcf3 PE=1 SV=1
Abcg1,ATP-binding cassette sub-family G member 1 OS=Mus musculus OX=10090 GN=Abcg1 PE=1 SV=1
Abcg2,ATP-binding cassette sub-family G member 2 OS=Mus musculus OX=10090 GN=Abcg2 PE=1 SV=1
Abcg3,ATP-binding cassette sub-family G member 3 OS=Mus musculus OX=10090 GN=Abcg3 PE=1 SV=2
Abhd10,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Mus musculus GN=Abhd10 PE=1 SV=1"
Abhd11,Protein ABHD11 OS=Mus musculus GN=Abhd11 PE=1 SV=1
Abhd12,Lysophosphatidylserine lipase ABHD12 OS=Mus musculus OX=10090 GN=Abhd12 PE=1 SV=2
Abhd13,Protein ABHD13 OS=Mus musculus OX=10090 GN=Abhd13 PE=2 SV=1
Abhd14b,Protein ABHD14B OS=Mus musculus OX=10090 GN=Abhd14b PE=1 SV=1
Abhd16a,Abhydrolase domain-containing protein 16A OS=Mus musculus GN=Abhd16a PE=1 SV=3
Abhd16b,Protein ABHD16B OS=Mus musculus OX=10090 GN=Abhd16b PE=2 SV=1
Abhd17a,Alpha/beta hydrolase domain-containing protein 17A OS=Mus musculus OX=10090 GN=Abhd17a PE=1 SV=1
Abhd17b,Alpha/beta hydrolase domain-containing protein 17B OS=Mus musculus OX=10090 GN=Abhd17b PE=1 SV=1
Abhd17c,Alpha/beta hydrolase domain-containing protein 17C OS=Mus musculus OX=10090 GN=Abhd17c PE=1 SV=2
Abhd2,Monoacylglycerol lipase ABHD2 OS=Mus musculus OX=10090 GN=Abhd2 PE=1 SV=1
Abhd3,Phospholipase ABHD3 OS=Mus musculus GN=Abhd3 PE=1 SV=1
Abhd4,(Lyso)-N-acylphosphatidylethanolamine lipase OS=Mus musculus OX=10090 GN=Abhd4 PE=1 SV=1
Abhd5,1-acylglycerol-3-phosphate O-acyltransferase ABHD5 OS=Mus musculus OX=10090 GN=Abhd5 PE=1 SV=1
Abhd6,Monoacylglycerol lipase ABHD6 OS=Mus musculus GN=Abhd6 PE=1 SV=1
Abhd8,Protein ABHD8 OS=Mus musculus OX=10090 GN=Abhd8 PE=2 SV=1
Abi1,Abl interactor 1 OS=Mus musculus GN=Abi1 PE=1 SV=3
Abi2,Abl interactor 2 OS=Mus musculus GN=Abi2 PE=1 SV=1
Abi3,ABI gene family member 3 OS=Mus musculus OX=10090 GN=Abi3 PE=1 SV=3
Abl1,Tyrosine-protein kinase ABL1 OS=Mus musculus OX=10090 GN=Abl1 PE=1 SV=3
Abl2,Abelson tyrosine-protein kinase 2 OS=Mus musculus GN=Abl2 PE=1 SV=1
Ablim1,Actin-binding LIM protein 1 OS=Mus musculus GN=Ablim1 PE=1 SV=1
Ablim2,Actin-binding LIM protein 2 OS=Mus musculus GN=Ablim2 PE=1 SV=1
Ablim3,Actin-binding LIM protein 3 OS=Mus musculus GN=Ablim3 PE=1 SV=2
Abr,Active breakpoint cluster region-related protein OS=Mus musculus GN=Abr PE=1 SV=1
Abracl,Costars family protein ABRACL OS=Mus musculus OX=10090 GN=Abracl PE=1 SV=1
Abraxas1,BRCA1-A complex subunit Abraxas 1 OS=Mus musculus OX=10090 GN=Abraxas1 PE=1 SV=1
Abraxas2,BRISC complex subunit Abraxas 2 OS=Mus musculus GN=Abraxas2 PE=1 SV=1
Abt1,Activator of basal transcription 1 OS=Mus musculus OX=10090 GN=Abt1 PE=2 SV=1
Abtb2,Ankyrin repeat and BTB/POZ domain-containing protein 2 OS=Mus musculus OX=10090 GN=Abtb2 PE=1 SV=1
Acaa1a,"3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus GN=Acaa1a PE=1 SV=1"
Acaa1b,"3-ketoacyl-CoA thiolase B, peroxisomal OS=Mus musculus GN=Acaa1b PE=1 SV=1"
Acaa2,"3-ketoacyl-CoA thiolase, mitochondrial OS=Mus musculus GN=Acaa2 PE=1 SV=2"
