Accession,Description,Peptides,39383 WASH 1,39384 WASH 2,39385 WASH 3,39386 Control 1,39387 Control 2,39388 Control 3,39389 QC Pool 1,39389 QC Pool 2,39389 QC Pool 3
A1L317,"Keratin, type I cytoskeletal 24 OS=Mus musculus OX=10090 GN=Krt24 PE=2 SV=2",1,0,0,17421202,0,5011696,14677171,9253545,6515363,0
A2A432,Cullin-4B OS=Mus musculus OX=10090 GN=Cul4b PE=1 SV=1,5,31973673.5,39456318,17471771,27703114,28017923,27607965.5,19566535.75,19533678.75,22579437
A2A5R2,Brefeldin A-inhibited guanine nucleotide-exchange protein 2 OS=Mus musculus OX=10090 GN=Arfgef2 PE=1 SV=1,2,11059562.5,15478811.5,11649280.5,11993852.75,6337326,8403580.25,8705712.75,13512319.75,11086571.25
A2A690,Protein TANC2 OS=Mus musculus OX=10090 GN=Tanc2 PE=1 SV=1,10,95550558.56,53585315.25,76063879.5,38866917.5,34127587,42121532.5,81230406.88,51876824,57812407.38
A2A699,Protein FAM171A2 OS=Mus musculus OX=10090 GN=Fam171a2 PE=1 SV=1,4,65092405,44422380,33359727.13,17355754.25,17422835,10741565.5,24662970,23592099,35042100.5
A2A6T1,Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1,1,4744638.5,6897618,3700564.25,0,0,0,1937904.25,0,3266125.25
A2A8Z1,Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1,1,14433671,16685001,9311716,16157951,16524008,11397134,14915273,14473248,13195783
A2ADY9,Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1,2,20252263.5,21755272,4013756.25,16383928.5,30368023,20232894,17172317.5,18957988,19849480
A2AG50,MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1,11,170714948,150320553.5,87224361.81,57317523.5,71790844,56047541.42,75956664.06,99208304.5,88704042.88
A2AGT5,Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1,19,241506015.9,156745656.5,120837172.8,122612692.3,96646493,92797496.25,149041258.6,141679572.3,114763723.5
A2AHC3,Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1,15,197636050.5,152735215.3,78474207.88,34604993.5,42471003,26240718.13,71077970,83030349.75,60882420
A2AHG0,Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3 PE=1 SV=1,3,17734558,14577490,10454352,0,997880.5,0,8917645.75,8261256.25,9662224.25
A2AIW0,Serologically defined colon cancer antigen 3 homolog OS=Mus musculus OX=10090 GN=Sdccag3 PE=1 SV=1,4,58126114,48399372,26757429.5,0,0,1514050.5,25975594.5,16997867.5,17601845.75
A2AJA9,Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1 PE=1 SV=1,2,40487494,26380229.5,13797851,7287336,8303566.5,11008885,8543013.25,8333803.5,19615789
A2ALK8,Tyrosine-protein phosphatase non-receptor type 3 OS=Mus musculus OX=10090 GN=Ptpn3 PE=1 SV=1,2,19622190,15770758.5,11047370.25,4137374.75,0,5168753.5,9726608.25,9398956.25,9751564
A2ALS5,Rap1 GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rap1gap PE=1 SV=2,15,388502529,315915296.3,208745221.9,191702918.5,164967166.5,169071075,221273150.5,232473375.5,231248348.5
A2ALU4,Protein Shroom2 OS=Mus musculus OX=10090 GN=Shroom2 PE=1 SV=1,17,376702825.5,325485670.9,117347871.8,33007246.5,47435951.38,31249286.25,120089383.9,147797147.9,131576128.8
A2AN08,E3 ubiquitin-protein ligase UBR4 OS=Mus musculus OX=10090 GN=Ubr4 PE=1 SV=1,22,122200960,117835028.3,104305525.5,142634727.8,143752830.5,130610794.3,121589254.5,106660779.5,125269531.3
A2AP18,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2 OS=Mus musculus OX=10090 GN=Plch2 PE=1 SV=2",3,45207630.5,52609663.5,58474675,81924626,78777618,55475907,53201383,59804232,60370306
A2APY7,"Arginine-hydroxylase NDUFAF5, mitochondrial OS=Mus musculus OX=10090 GN=Ndufaf5 PE=1 SV=1",1,9311024,9756404,5040232.25,0,0,0,3320814.5,6533762,0
A2AQ25,Sickle tail protein OS=Mus musculus OX=10090 GN=Skt PE=1 SV=1,16,185103700.3,175657495.3,117319353.8,19125479.75,23915435.25,8358309.75,77350807.75,77582128.5,87230202.5
A2ARS0,Ankyrin repeat domain-containing protein 63 OS=Mus musculus OX=10090 GN=Ankrd63 PE=1 SV=1,1,9915781,11488125,6014978,3284952.75,4245804,3134391.25,4826666,5753223,7033654.5
A2ASZ8,Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus OX=10090 GN=Slc25a25 PE=1 SV=1,2,23364405,19686106,16091787.5,11005740.5,4638216.5,13732115,18578526,14889935.5,17559068
A2AWA9,Rab GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Rabgap1 PE=1 SV=1,9,67536630.25,52792241.25,26936842,64549427.5,31540477.5,48044760.88,41827826.5,57463120.75,53558760
A2BDX3,Adenylyltransferase and sulfurtransferase MOCS3 OS=Mus musculus OX=10090 GN=Mocs3 PE=1 SV=1,1,30671474,30592882,22700028,20804090,28090094,16547485,26110860,24981398,28337104
A2CG49,Kalirin OS=Mus musculus OX=10090 GN=Kalrn PE=1 SV=1,5,49116258.5,39015254.5,44935812,20734582.5,24538439.75,34453840.25,22389221,34329310,42151138
A2RSJ4,UHRF1-binding protein 1-like OS=Mus musculus OX=10090 GN=Uhrf1bp1l PE=1 SV=2,3,21881778.5,24825055,18266911.25,20874263,25580936,17398079.75,20131853,21347050,22890480
A2RT62,F-box/LRR-repeat protein 16 OS=Mus musculus OX=10090 GN=Fbxl16 PE=1 SV=1,8,188342687,125576314.5,107913235,128486266.5,148016748,112148021,145813799.5,138756932,142177050
A6H630,Protein-glutamate O-methyltransferase OS=Mus musculus OX=10090 GN=Armt1 PE=1 SV=1,2,17378278,16585347.25,20024389.75,27278672.25,20407718,18038874,22237372.75,16453138,23426901
A6H8H5,Potassium voltage-gated channel subfamily B member 2 OS=Mus musculus OX=10090 GN=Kcnb2 PE=1 SV=2,1,11821988,5360861.5,2507007,1613842.25,0,0,2459742,3412308.75,3276000
B0F2B4,Neuroligin 4-like OS=Mus musculus OX=10090 GN=Nlgn4l PE=1 SV=1,3,8006965.5,14484911,13969520.94,12626047.75,16394625.47,8576440.75,14591115,14946121.5,15548003.38
B0V2N1,Receptor-type tyrosine-protein phosphatase S OS=Mus musculus OX=10090 GN=Ptprs PE=1 SV=1,14,180116677.5,178886847.5,167381822.3,113439506.8,106522534.5,130439162.5,127278381,155914584.8,170779342
B1AXH1,NHS-like protein 2 OS=Mus musculus OX=10090 GN=Nhsl2 PE=1 SV=1,7,78286204,57318294.75,35181774.5,19147604,21964568.13,19423773.5,36551795.75,29727908,45496030
B1AXV0,DOMON domain-containing protein FRRS1L OS=Mus musculus OX=10090 GN=Frrs1l PE=1 SV=1,3,10820971,17748565,27919683,29787258,37339347.5,32799965.5,32399767,18476652,22608595
B1AZP2,Disks large-associated protein 4 OS=Mus musculus OX=10090 GN=Dlgap4 PE=1 SV=1,7,161453227.5,133603302.8,71423200.75,24815034,14473541.5,2562767,99217536.25,47600759,99384828
B2RQC6,CAD protein OS=Mus musculus OX=10090 GN=Cad PE=1 SV=1,1,12217900,9636021,14167891,8395159,8058551,6951117.5,9277522,9255214,10844342
B2RSH2,Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Mus musculus OX=10090 GN=Gnai1 PE=1 SV=1,7,383698067.5,313780230.5,282066088.3,346758736,353875723,298174197,298082588.5,297013859.8,322015124.5
B2RUJ5,Amyloid-beta A4 precursor protein-binding family A member 1 OS=Mus musculus OX=10090 GN=Apba1 PE=1 SV=2,2,15619015,15171903.5,17187741.5,9680179.5,16403708.5,12228423,14798118,15994859,15034193
B2RXC1,Trafficking protein particle complex subunit 11 OS=Mus musculus OX=10090 GN=Trappc11 PE=1 SV=1,3,14655082.5,9793502.5,13485565.75,18486810,10368948.5,13803797.5,11984465,10971254,10739604
B2RXS4,Plexin-B2 OS=Mus musculus OX=10090 GN=Plxnb2 PE=1 SV=1,5,72342555,47253974.5,38643810.88,39425564.5,45748761,36203426,38397527,43255937.5,39554019.5
B5TVM2,Immunoglobulin-like domain-containing receptor 2 OS=Mus musculus OX=10090 GN=Ildr2 PE=1 SV=2,2,17929720.5,3761137.5,12482880.75,4657519.5,0,3570929.25,7883114,4993859,8922693.75
B9EJ86,Oxysterol-binding protein-related protein 8 OS=Mus musculus OX=10090 GN=Osbpl8 PE=1 SV=1,7,64427485.5,52522060.75,44169093.75,47427674.75,53583669,53056572,52366804.75,40087017.5,50116104.5
B9EJA2,Cortactin-binding protein 2 OS=Mus musculus OX=10090 GN=Cttnbp2 PE=1 SV=2,12,180342803,125547842.3,89299400.5,51093270.5,38782130.5,31687800.25,94898117.75,85884884,78484858.5
B9EKR1,Receptor-type tyrosine-protein phosphatase zeta OS=Mus musculus OX=10090 GN=Ptprz1 PE=1 SV=1,10,469866076.5,398166035.5,266919978,420913051,448639080,423905612.5,441923187,424109650,419320453
D3YVF0,A-kinase anchor protein 5 OS=Mus musculus OX=10090 GN=Akap5 PE=1 SV=2,5,86549695,31414277.5,83350575,0,3231247.75,5183079,18660090,15716381.5,16562868.5
D3YZI9,PiggyBac transposable element-derived protein 5 OS=Mus musculus OX=10090 GN=Pgbd5 PE=1 SV=1,4,44632492,41329000.5,41972074.5,42844462,51170359.75,36177881,48133758,49277074,43429143
D3YZP9,Coiled-coil domain-containing protein 6 OS=Mus musculus OX=10090 GN=Ccdc6 PE=1 SV=1,2,24922147,8230143.5,9066833.5,4548367,4382186.5,0,0,7099246.5,5974864.5
D3YZU1,SH3 and multiple ankyrin repeat domains protein 1 OS=Mus musculus OX=10090 GN=Shank1 PE=1 SV=1,16,364689269,209610317.5,153953436.9,71631017.75,74943787.25,70172737,149259717,141023121.5,156210408.8
D3Z7P3,"Glutaminase kidney isoform, mitochondrial OS=Mus musculus OX=10090 GN=Gls PE=1 SV=1",49,11516103122,10432719845,7060006066,1468655455,1221923630,1211570434,4562280995,4723048804,4976672320
E9PUL5,Proline-rich transmembrane protein 2 OS=Mus musculus OX=10090 GN=Prrt2 PE=1 SV=1,4,62247605.88,54068030,21318847.5,48169388.75,58717984,42840387.5,49959951,44503275.5,44868689.5
E9PV24,Fibrinogen alpha chain OS=Mus musculus OX=10090 GN=Fga PE=1 SV=1,6,48997251.75,35688469.25,28062228.63,50507129.75,26806738,60464605.25,42326323.75,46958240,50427291.25
E9PVA8,eIF-2-alpha kinase activator GCN1 OS=Mus musculus OX=10090 GN=Gcn1 PE=1 SV=1,4,20284124.5,16560409.75,12487635.88,15053347,22114665.88,20684342.5,19507567.75,16286344.75,17161684.5
E9Q3L2,Phosphatidylinositol 4-kinase alpha OS=Mus musculus OX=10090 GN=Pi4ka PE=1 SV=2,26,327736165,255157631.8,223835658.8,275728175.8,252933731.5,265288370.5,258583296.4,258156805,257721270
E9Q4P1,WD repeat and FYVE domain-containing protein 1 OS=Mus musculus OX=10090 GN=Wdfy1 PE=1 SV=1,5,63564760,55680620.5,14255052.5,81073489.81,69006640,59832515,66235597.5,66127191.5,68148977
E9Q557,Desmoplakin OS=Mus musculus OX=10090 GN=Dsp PE=1 SV=1,25,358916184,313774148,159771045.5,205708163.5,284343955.5,405561796,273760285.4,278868664.5,300508356.5
E9Q6B2,Coiled-coil domain-containing protein 85C OS=Mus musculus OX=10090 GN=Ccdc85c PE=1 SV=1,1,5346570.5,4531588.5,0,0,0,0,2155413,0,3059607
